prompts,results
"I have Cough, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
I have Fever. What disease do i have?,You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Cirrhosis.
"I have Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You have Conjunctivitis (Pink Eye).
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Depression.
"I have Fever, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You have Gastroenteritis.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hyperthyroidism.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hyperthyroidism.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Kidney Cancer.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Liver Cancer.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Liver Disease.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You have Malaria.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You have Malaria.
"I have Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Migraine.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You have Migraine.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Pancreatitis.
"I have Fever, Cough, Fatigue. What disease do i have?",You have Rheumatoid Arthritis.
I have Fatigue. What disease do i have?,You have Rheumatoid Arthritis.
I have Fatigue. What disease do i have?,You have Spina Bifida.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Ulcerative Colitis.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You have Ulcerative Colitis.
"I have Fever, Fatigue, Cholesterol Level. What disease do i have?",You have Urinary Tract Infection.
I have Cough. What disease do i have?,You don't have a disease.
I have Cholesterol Level. What disease do i have?,You don't have a disease.
I have . What disease do i have?,You don't have a disease.
I have . What disease do i have?,You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Anxiety Disorders.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Diabetes.
"I have Fever, Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You have Migraine.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Osteoarthritis.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Pneumonia.
I have Fatigue. What disease do i have?,You have Klinefelter Syndrome.
I have Fatigue. What disease do i have?,You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Cough, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue. What disease do i have?",You have Asthma.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Asthma.
"I have Fever, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You have Asthma.
"I have Fever, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You have Asthma.
"I have Cough, Cholesterol Level. What disease do i have?",You have Chickenpox.
"I have Cough, Cholesterol Level. What disease do i have?",You have Chickenpox.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Coronary Artery Disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?","You have Eating Disorders (Anorexia,...."
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Fibromyalgia.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Gastroenteritis.
I have Fatigue. What disease do i have?,You have Hemophilia.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hyperthyroidism.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hypoglycemia.
"I have Cough, Cholesterol Level. What disease do i have?",You have Lymphoma.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You have Pneumonia.
"I have Cough, Fatigue, Blood Pressure. What disease do i have?",You have Psoriasis.
"I have Fever, Blood Pressure. What disease do i have?",You have Psoriasis.
"I have Cough, Cholesterol Level. What disease do i have?",You have Psoriasis.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Tuberculosis.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Tuberculosis.
I have . What disease do i have?,You don't have a disease.
"I have Fever, Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Difficulty Breathing, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Fever. What disease do i have?,You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fever, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Fatigue. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You have Diabetes.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hypothyroidism.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hypothyroidism.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You have Kidney Disease.
"I have Cough, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Pneumonia.
"I have Cough, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
I have . What disease do i have?,You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
I have Fever. What disease do i have?,You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
I have . What disease do i have?,You don't have a disease.
"I have Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You have Allergic Rhinitis.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You have Anxiety Disorders.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Cataracts.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Crohn's Disease.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Crohn's Disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Depression.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Diabetes.
"I have Cough, Fatigue, Cholesterol Level. What disease do i have?",You have Diabetes.
"I have Fever, Fatigue, Cholesterol Level. What disease do i have?",You have Hypertension.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hypothyroidism.
"I have Fever, Cough, Fatigue, Cholesterol Level. What disease do i have?",You have Liver Disease.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You have Multiple Sclerosis.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You have Multiple Sclerosis.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Osteoarthritis.
"I have Fever, Cough, Fatigue, Cholesterol Level. What disease do i have?",You have Osteoporosis.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Pneumocystis Pneumonia (PCP).
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Pneumonia.
"I have Blood Pressure, Cholesterol Level. What disease do i have?",You have Scoliosis.
I have Fatigue. What disease do i have?,You have Sickle Cell Anemia.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Tetanus.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Tetanus.
I have Cholesterol Level. What disease do i have?,You don't have a disease.
"I have Fatigue, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fatigue, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fatigue, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Blood Pressure. What disease do i have?",You don't have a disease.
I have Cough. What disease do i have?,You don't have a disease.
"I have Fever, Cough, Fatigue, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Cough. What disease do i have?,You don't have a disease.
"I have Fever, Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Difficulty Breathing, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You have Asthma.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Bronchitis.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Down Syndrome.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Ebola Virus.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Ebola Virus.
"I have Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You have Eczema.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Gastroenteritis.
I have Fatigue. What disease do i have?,You have Klinefelter Syndrome.
"I have Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Liver Cancer.
"I have Fever, Cholesterol Level. What disease do i have?",You have Lyme Disease.
"I have Fever, Cholesterol Level. What disease do i have?",You have Lyme Disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Pancreatic Cancer.
"I have Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Pneumothorax.
"I have Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Cough, Fatigue, Cholesterol Level. What disease do i have?",You have Ulcerative Colitis.
"I have Fever, Cough. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue. What disease do i have?",You don't have a disease.
"I have Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Cough. What disease do i have?,You don't have a disease.
"I have Cough, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Cough. What disease do i have?",You have Anxiety Disorders.
I have Fatigue. What disease do i have?,You have Coronary Artery Disease.
I have Fatigue. What disease do i have?,You have Coronary Artery Disease.
"I have Blood Pressure, Cholesterol Level. What disease do i have?",You have Hemorrhoids.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You have Hypertension.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hypothyroidism.
"I have Fever, Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You have Osteoarthritis.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Osteoporosis.
"I have Cough, Fatigue. What disease do i have?",You have Osteoporosis.
"I have Fever, Fatigue. What disease do i have?",You have Osteoporosis.
"I have Fever, Fatigue. What disease do i have?",You have Osteoporosis.
"I have Fever, Cough. What disease do i have?",You have Polycystic Ovary Syndrome (PCOS).
"I have Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Systemic Lupus Erythematosus....
I have Cough. What disease do i have?,You have Typhoid Fever.
I have Cough. What disease do i have?,You have Typhoid Fever.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Influenza.
"I have Fever, Cough, Difficulty Breathing, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Difficulty Breathing. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Asthma.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Chronic Kidney Disease.
I have Fatigue. What disease do i have?,You have Hemophilia.
"I have Cough, Fatigue. What disease do i have?",You have Hepatitis B.
"I have Cough, Fatigue. What disease do i have?",You have Hepatitis B.
"I have Fatigue, Blood Pressure. What disease do i have?",You have Hypertension.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You have Hypertension.
"I have Blood Pressure, Cholesterol Level. What disease do i have?",You have Hypertension.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You have Kidney Cancer.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Kidney Disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You have Osteoporosis.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You have Pancreatitis.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You have Parkinson's Disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You have Parkinson's Disease.
I have Fatigue. What disease do i have?,You have Prader-Willi Syndrome.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Rheumatoid Arthritis.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Thyroid Cancer.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Tuberculosis.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fatigue, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You have Alzheimer's Disease.
"I have Cough, Cholesterol Level. What disease do i have?",You have Alzheimer's Disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Alzheimer's Disease.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Bronchitis.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Chronic Obstructive Pulmonary Disease (COPD).
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Chronic Obstructive Pulmonary Disease (COPD).
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Dementia.
"I have Fever, Cough, Fatigue, Cholesterol Level. What disease do i have?",You have Diabetes.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Diverticulitis.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Liver Cancer.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Lung Cancer.
"I have Fever, Fatigue, Cholesterol Level. What disease do i have?",You have Lung Cancer.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Mumps.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Mumps.
"I have Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Osteoporosis.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Blood Pressure. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You don't have a disease.
I have Fever. What disease do i have?,You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Fever, Cough, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue, Cholesterol Level. What disease do i have?",You have Gout.
I have Fatigue. What disease do i have?,You have Migraine.
"I have Cough, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Cough, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Testicular Cancer.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Tonsillitis.
I have Fatigue. What disease do i have?,You have Williams Syndrome.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"I have Fever, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Stroke.
"i have depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast. what disease do i have?",you have panic disorder.
"i have shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, irregular heartbeat. what disease do i have?",you have panic disorder.
